Start,Finish,Conflict,Victorious party,Defeated party
c. 1439 BC,c. 1438 BC,Thutmose III,Egyptian Empire,
c. 1438 BC,c. 1437 BC,Thutmose III,Egyptian Empire,
c. 1437 BC,c. 1436 BC,Thutmose III,Egyptian Empire,"Mitanni, Tunip, Kadesh (Syria)"
c. 1429 BC,c. 1428 BC,Thutmose III,Egyptian Empire,Nubia
c. 1430 BC,c. 1200 BC,Kaskians,Hittite Empire,"Kaskians, Azzi-Hayasa, Mushki"
c. 1400 BC,c. 1400 BC,Battle of the Ten Kings,"Trtsu, Bhāratas","Alina people, Anu (tribe), Bhrigus, Bhalanas, Dasa, Druhyus, Matsya Kingdom, Persian people, Puru (Vedic tribe), Panis"
c. 1315 BC,c. 1315 BC,Mycenaean Greece,"Arzawa, Mycenaean Greece",Hittite Empire
c. 1279 BC,c. 1213 BC,Ramesses II,Egypt,
c. 1278 BC,c. 1278 BC,Ramesses II,Egypt,Shardana
c. 1276 BC,c. 1275 BC,Ramesses II,Egypt,"Canaan, Amurru kingdom"
c. 1274 BC,c. 1274 BC,Ramesses II,,
c. 1270 BC,c. 1270 BC,Ramesses II,Egypt,Hittite Empire
c. 1270 BC,c. 1269 BC,Ramesses II,,
c. 1260 BC,c. 1260 BC,Ramesses II,Egypt,Nubia
c. 1260 BC,c. 1255 BC,Mycenaean Greece,"Piyama-Radu, Mycenaean Greece",Hittite Empire
c. 1260 BC,c. 1240 BC,Trojan War,"Achaeans (Homer), Mycenae, Sparta",Troy
c. 1250 BC,c. 1250 BC,Ramesses II,Egypt,Libya
c. 1237 BC,c. 1237 BC,Battle of Nihriya,Assyria,Hittite Empire
c. 1206 BC,c. 1150 BC,Late Bronze Age collapse,,
c. 1190 BC,c. 1190 BC,Ugarit,Sea Peoples,Ugarit
c. 1175 BC,c. 1175 BC,Battle of the Delta,Egypt,Sea Peoples
c. 1118 BC,c. 1118 BC,Diauehi-Assyrian war (page does not exist),Assyria,Diauehi
c. 1110 BC,c. 1110 BC,Nebuchadnezzar I,Babylon,Elam
c. 1046 BC,c. 1046 BC,Battle of Muye,Zhou Dynasty,Shang Dynasty
c. 1042–BC,c. 1039 BC,Rebellion of the Three Guards,King Cheng of Zhou,Shu Du of Cai
854 BC,846 BC,Assyrian conquest of Aram,Assyrian Empire,Aram (biblical region)
757 BC,723 BC,Colchis,Colchis,Diauehi
740 BC,720 BC,First Messenian War,Sparta,Messenia
736 BC,732 BC,Syro-Ephraimite War,"Assyrian Empire, Kingdom of Judah","Aram (biblical region), Kingdom of Israel (Samaria)"
732 BC,before 721 BC,Piye,"Nubia, Upper Egypt, Hermopolis","Middle Egypt, Lower Egypt"
725 BC,725 BC,Colchis,Colchis,"Scythia, Cimmerians"
722 BC,481 BC,Spring and Autumn period,,
714 BC,after 706 BC,Urartu–Assyria War,Neo-Assyrian Empire,Urartu
710 BC,650 BC,Lelantine War,,
703 BC,689 BC,Sennacherib,Neo-Assyrian Empire,"Babylonia, Chaldea, Aramaea, Elam"
701 BC,701 BC,Sennacherib's campaign in Judah,"Kingdom of Judah, Kushite Egypt",Neo-Assyrian Empire
685 BC,668 BC,Second Messenian War,"Corinth, Lepreo, Crete, Mercenaries","Arcadia, Sicyon, Elis, Argos"
671 BC,after 664 BC,Esarhaddon,Neo-Assyrian Empire,"Twenty-fifth Dynasty of Egypt, Kingdom of Kush"
655 BC,639 BC,Assyrian conquest of Elam,Neo-Assyrian Empire,Elam
652 BC,648 or 646 BC,Shamash-shum-ukin,Neo-Assyrian Empire,"Babylon, Mesopotamian Sealands (page does not exist), Elam, Chaldea, Gutian people, Amurru kingdom, Meluhha, Arab people"
642 BC,338 BC,Roman-Latin wars,"Roman Kingdom, Roman Republic",Latins
632 BC,632 BC,Cylon of Athens,Athens,"Cylon of Athens, Megara"
626 BC,626 BC,Revolt of Babylon (626 BC),Babylonia,Neo-Assyrian Empire
614 BC,614 BC,Fall of Assur,"Neo-Babylonian Empire, Media (region)",Neo-Assyrian Empire
c. 612 BC,c. 612 BC,Battle of Nineveh (612 BC),"Medes, Persian people, Elamites, Scythians, Neo-Babylonian Empire, Chaldea, Cimmerians",Neo-Assyrian Empire
608 BC,608 BC,Fall of Harran,"Neo-Babylonian Empire, Media (region)",Neo-Assyrian Empire
c. 605 BC,c. 605 BC,Battle of Carchemish,Neo-Babylonian Empire,"Late Period of ancient Egypt, Neo-Assyrian Empire"
601 BC,586 BC,Jewish–Babylonian war,"Neo-Babylonian Empire, Moab, Ammon, Chaldea",Kingdom of Judah
between 560 and 540 BC,between 560 and 540 BC,Colchis,Achaemenid Empire,Colchis
552 BC,539 BC,Wars of Cyrus the Great,"Persis, Achaemenid Empire","Median Empire, Neo-Babylonian Empire, Lydian Empire, Gandhara Empire, Sogdiana"
552 BC,550 BC,Persian Revolt,Persis,Medes
547 BC,547 BC,Wars of Cyrus the Great,Achaemenid Empire,Lydia
540 BC,539 BC,Elam,Achaemenid Empire,Elam
539 BC,539 BC,Battle of Opis,Achaemenid Empire,Neo-Babylonian Empire
between 540 and 535 BC,between 540 and 535 BC,Battle of Alalia,"Ancient Carthage, Etruscans","Ancient Greece, Phocaea, Aléria"
518 BC,518 BC,Achaemenid invasion of the Indus Valley,Achaemenid Empire,Haryanka dynasty
499 BC,494 BC,Ionian Revolt,Achaemenid Empire,"Ionia, Aeolis, Doris (Asia Minor), Caria, Athens, Eretria, Cyprus"
499 BC,448 BC,Greco-Persian Wars,"Ancient Greece, Classical Athens, Sparta, Thespiae, Thebes, Greece, Cyprus, Delian League",Achaemenid Empire
498 BC,493 BC,Latin War (498–493 BC),Roman Republic,Latin League
492 BC,490 BC,First Persian invasion of Greece,Achaemenid Empire,"Ionia, Aeolis, Doris (Asia Minor), Caria, Athens, Eretria, Cyprus"
480 BC,479 BC,Second Persian invasion of Greece,"Athens, Sparta",Achaemenid Empire
487 BC,448 BC,Persian Wars,,
480 BC,480 BC,Sicilian Wars,"Syracuse, Sicily, Agrigentum",Carthage
477 BC,477 BC,Battle of the Cremera,Veii,Roman Republic
475 BC,221 BC,Warring States period,,
474 BC,474 BC,Battle of Cumae,"Syracuse, Italy, Cumae",Etruscans
464 BC,464 BC,464 BC Sparta earthquake,Sparta,"Helots, Perioeci"
460 BC,445 BC,First Peloponnesian War,,
440 BC,440 BC,Samian War,Athens,Samos
431 BC,404 BC,Peloponnesian War,Peloponnesian League,Delian League
411 BC,411 BC,Athenian coup of 411 BC,,Classical Athens
410 BC,340 BC,Sicilian Wars,"Syracuse, Sicily, Corinth, Sparta","Classical Athens, Delian League, Segesta"
480 BC,480 BC,Battle of Thermopylae,Persian Empire,Greek city states
395 BC,387 BC,Corinthian War,"History of Athens, Argos, Corinth, Thebes (Greece), Achaemenid Dynasty","History of Sparta, Peloponnesian League"
390 BC ,390 BC ,Battle of the Allia,Gauls,Roman Republic
385 BC,385 BC,Artaxerxes' II Cadusian Campaign,Cadusii,Achaemenid Empire
378 BC,372 BC,Boeotian War,"Thebes, Greece, Athens",Sparta
372 BC,362 BC,Revolt of the Satraps,Achaemenid Empire,
371 BC,371 BC,Battle of Leuctra,Boeotian League,Sparta
362 BC,362 BC,Battle of Mantinea (362 BC),,
358 BC,336 BC,Rise of Macedon,,
357 BC,355 BC,Social War (357-355 BC),"Chios, Rhodes, Kos, Byzantion",Second Athenian Empire
356 BC,346 BC,Third Sacred War,Amphictyonic League,"Phocis, Pherae, Athens, Sparta"
343 BC,341 BC,First Samnite War,"Roman Republic, Sidicini",Samnites
340 BC,338 BC,Latin War,"Roman Republic, Samnites","Latin League, Campanians, Volsci, Sidicini, Aurunci"
339 BC,338 BC,Battle of Chaeronea (338 BC),Macedon,"Athens, Thebes, Greece, Corinth, Megara, Achaea (ancient region), Chalcis, Epidaurus, Troezen"
327 BC,304 BC,Second Samnite War,"Roman Republic, Volsci","Samnites, Sidicini, Aurunci, Ausoni, Vestini"
334 BC,323 BC,Wars of Alexander the Great,Macedon,"Persian Empire, Pauravas, Greek city states, Thrace, Getae, Sogdiana"
332 BC,331 BC,Battle of Megalopolis,Macedon,"Sparta, Thracian"
323 BC,322 BC,Lamian War,Macedon,"Athens, Aetolian League, Achaean League, Arcadia, Corinth"
321 BC,320 BC,Conquest of the Nanda Empire,Maurya Empire,Nanda Empire
315 BC,307 BC,Sicilian Wars,,
312 BC,312 BC,Antigonid–Nabataean confrontations,Nabataean Kingdom,Antigonid dynasty
311 BC,309 BC,Babylonian War,Seleucid Empire,Antigonid dynasty
305 BC,304 BC,Siege of Rhodes (305–304 BC),"Rhodes, Ptolemaic Kingdom, Seleucid Empire",Antigonid dynasty
305 BC,303 BC,Seleucid-Mauryan War,Maurya Empire,Seleucid Empire
c. 300 BC,c. 300 BC,Gojoseon–Yan War,Yan (state),Gojoseon
298 BC,290 BC,Third Samnite War,,
281 BC,279 BC,Gallic invasion of the Balkans,"Aetolian League, Illyrians, Macedon, Thracians, Paeonians",Gauls
280 BC,275 BC,Pyrrhic War,"Roman Republic, Carthage","Epirus, Magna Graecia, Samnium"
274 BC,200 BC,Syrian Wars,,
274 BC,271 BC,First Syrian War,Ptolemaic Kingdom,Seleucid Empire
260 BC,255 BC,Second Syrian War,,
245 BC,241 BC,Third Syrian War,Ptolemaic Kingdom,Seleucid Empire
219 BC,217 BC,Fourth Syrian War,Ptolemaic Kingdom,Seleucid Empire
202 BC,200 BC,Fifth Syrian War,,
267 BC,261 BC,Chremonidean War,Macedon,"Athens, Sparta, Ptolemaic Egypt"
265 BC,263 BC,Kalinga War,Maurya Empire,Kalinga (historical kingdom)
264 BC,146 BC,Punic Wars,,
264 BC,241 BC,First Punic War,Roman Republic,Ancient Carthage
218 BC,202 BC,Second Punic War,,
149 BC,146 BC,Third Punic War,,
240 BC,238 BC,Mercenary War,Ancient Carthage,"Mercenary, First Punic War, Libyans, Numidians"
238 BC,238 BC,Parni conquest of Parthia,Parni,Parthia
237 BC,219 BC,Hamilcar Barca,Ancient Carthage,"Turdetani, Bastetani, Greek colonies, Germani (Oretania), Tartessos, Celtiberians"
c. 230 BC,c. 220 BC,Greco-Bactrian Kingdom,Euthydemus I,Greco-Bactrian Kingdom
230 BC,221 BC,Qin's wars of unification,Qin state,"Han (state), Zhao (state), Dai (Warring States period), Yan (state), Wei (state), Chu (state), Qi (state)"
230 BC,230 BC,Qin's wars of unification,,
229 BC,222 BC,Cleomenean War,"Achaean League, Macedon","Sparta, Elis"
228 BC,228 BC,Qin's wars of unification,,
226 BC,226 BC,Qin's wars of unification,,
225 BC,225 BC,Qin's wars of unification,,
225 BC,223 BC,Qin's wars of unification,,
222 BC,222 BC,Qin's wars of unification,,
222 BC,222 BC,Dai (Warring States period),,
222 BC,222 BC,Wu (region),,
221 BC,221 BC,Qin's wars of unification,,
215 BC,215 BC,Qin's campaign against the Xiongnu,Qin dynasty,Xiongnu
215 BC,168 BC,Macedonian Wars,Roman Republic,Macedonian Empire
215 BC,205 BC,First Macedonian War,"Roman Republic, Aetolian League, Pergamon, Elis, Messenia","Macedonia (ancient kingdom), Achaean League"
214 BC,214 BC,Qin's campaign against the Yue tribes,Qin dynasty,Baiyue
c. 210 BC,c. 206 BC,Greco-Bactrian Kingdom,Greco-Bactrian Kingdom,Seleucid Empire
208 BC,c. 206 BC,Siege of Bactra,Greco-Bactrian Kingdom,Seleucid Empire
209 BC,88 BC,Seleucid–Parthian wars,Parthian Empire,Seleucid Empire
206 BC,202 BC,Chu-Han contention,Han Dynasty,Western Chu
205 BC,200 BC,Cretan War (205–200 BC),"Rhodes, Pergamum, Byzantium, Cyzicus, Athens, Knossos","Macedon, Hierapytna, Olous, Aetolia, Sparta, Acarnania"
200 BC,196 BC,Second Macedonian War,"Roman Republic, Pergamon, Rhodes",Macedon
200 BC,198 BC,Battle of Baideng,Xiongnu,Han dynasty
195 BC,195 BC,Roman-Spartan War,"Roman Republic, Achaean League, Macedon, Pergamum, Rhodes",Sparta
191 BC,188 BC,Roman-Syrian War,"Roman Republic, Achaean League, Macedon, Pergamum, Rhodes","Seleucid Empire, Aetolian League, Athamania"
189 BC,189 BC,Galatian War,"Roman Republic, Pergamum",Galatia
180 BC,175 BC,Greco-Bactrian Kingdom,Greco-Bactrian Kingdom,"Shunga Empire, Maurya Empire"
171 BC,168 BC,Third Macedonian War,"Roman Republic, Pergamon",Macedon
170 BC,170 BC,Greco-Bactrian Kingdom,Eucratides I,Greco-Bactrian Kingdom
c. 167 BC,c. 167 BC,Greco-Bactrian Kingdom,"Parthian Empire, Euthydemus I",Greco-Bactrian Kingdom
167 BC,160 BC,Maccabean Revolt,Judea,Seleucid Empire
162 BC,c. 70 BC,Greco-Bactrian Kingdom,"Yuezhi, Scythians, Saka, Wusun",Greco-Bactrian Kingdom
155 BC,139 BC,Lusitanian War,Roman Republic,
154 BC,154 BC,Rebellion of the Seven States,Han Dynasty,
138 BC,111 BC,Han campaigns against Minyue,Han Dynasty,Minyue
135 BC,71 BC,Roman Servile Wars,Roman Republic,Slavery in ancient Rome
135 BC,132 BC,First Servile War,Roman Republic,Sicily
133 BC,89 BC,Han–Xiongnu War,Han empire,Xiongnu
122 BC,105 BC,Jugurthine War,Roman Republic,Numidia
113 BC,101 BC,Cimbrian War,Roman Republic,"Cimbri, Teutons"
111 BC,111 BC,Han–Nanyue War,Han Dynasty,Nanyue
109 BC,109 BC,Han campaigns against Dian,Han Dynasty,Dian Kingdom
109 BC,108 BC,Wiman Joseon–Han War,Han Dynasty,Wiman Joseon
104 BC,101 BC,War of the Heavenly Horses,Han Dynasty,Dayuan
104 BC,100 BC,Second Servile War,Roman Republic,Sicily
93 BC,93 BC,Battle of Gadara,Nabataean Kingdom,Hasmonean dynasty
91 BC,88 BC,Social War (91–88 BC),Roman Republic,"Italy, Marsi, Samnium"
89 BC,63 BC,Mithridatic Wars,Roman Republic,Kingdom of Pontus
89 BC,85 BC,First Mithridatic War,"Roman Republic, Kingdom of Bithynia",Kingdom of Pontus
88 BC,87 BC,Sulla's first civil war,,
87 BC,85 BC,Armenian–Parthian War,Kingdom of Armenia (antiquity),Parthian Empire
84 BC,84 BC,Battle of Cana,Nabataean Kingdom,Seleucid Empire
83 BC,82 BC,Second Mithridatic War,Roman Republic,Kingdom of Pontus
82 BC,81 BC,Sulla's second civil war,Optimates,Populares
73 BC,71 BC,Third Servile War,Roman Republic,Spartacus
74 BC,63 BC,Third Mithridatic War,"Roman Republic, Bithynia","Kingdom of Pontus, Kingdom of Armenia (antiquity)"
65 BC,65 BC,Pompey's campaign in Iberia and Albania,Roman Republic,"Iberian Kingdom, Caucasian Albania"
66 BC,217 AD,Roman–Parthian Wars,Roman Republic,Parthian Empire
58 BC,50 BC,Julius Caesar,Roman Republic,"Gauls, Belgic, Britons (Celtic people), Aquitaine, Germanic peoples, Iberians"
55 BC,54 BC,Caesar's invasions of Britain,"Roman Republic, Trinovantes",Britons (Celtic people)
53 BC,51 BC,Battle of Carrhae,Parthian Empire,Roman Republic
49 BC,45 BC,Caesar's Civil War,"Julius Caesar, Populares","Roman Senate, Optimates"
44 BC,30 BC,Roman civil wars,,
44 BC,44 BC,Battle of Mutina,,
44 BC,42 BC,Liberators' civil war,Second Triumvirate,Liberatores
44 BC,36 BC,Sicilian revolt,Roman Republic,Sextus Pompeius
41 BC,40 BC,Perusine War,Roman Republic,"Fulvia, Lucius Antonius (brother of Mark Antony)"
32 BC,30 BC,Final War of the Roman Republic,"Roman Republic, Octavian","Ptolemaic Egypt, Mark Antony"
40 BC,33 BC,Antony's Parthian War,,
29 BC,19 BC,Cantabrian Wars,Roman Empire,"Cantabri, Astures"
19 BC,19 BC,Garamantes,Roman Empire,Garamantes
6 AD,9 AD,Bellum Batonianum,"Roman Empire, Odrysian Kingdom","Daesitiates, Breuci, Dalmatae, Andizetes, Pannonians, Pirustae, Liburnians, Japodes"
9 AD,9 AD,Battle of the Teutoburg Forest,Cherusci,Roman Empire
6 AD,21 AD,Daeso,Goguryeo,Dongbuyeo
17 AD,18 AD,Maroboduus,Arminius,Marcomanni
c. 17 AD,23 AD,Battle of Kunyang,Lülin,Xin dynasty
17 AD,24 AD,Tacfarinas,Roman Empire,"Musulamii, Numidia"
c. 17 AD,26 AD,Red Eyebrows,Red Eyebrows,"Xin dynasty, Gengshi Emperor of Han"
42 AD,43 AD,Trung sisters' rebellion,Han dynasty,
43 AD,96 AD,Roman conquest of Britain,,
c. 58 AD,c. 58 AD,Hermunduri,Hermunduri,Chatti
58 AD,63 AD,Roman–Parthian War of 58–63,,
60 AD,61 AD,Boudica,,
66 AD,73 AD,First Jewish–Roman War,Roman Empire,"Judean, Sadducees, Adiabene"
69 AD,69 AD,Year of the Four Emperors,,
69 AD,70 AD,Revolt of the Batavi,Roman Empire,"Batavi (Germanic tribe), Cananefates, Frisii, Lingones, Treveri"
73 AD,73 AD,Battle of Yiwulu,Han dynasty,Northern Xiongnu
89 AD,93 AD,Battle of the Altai Mountains,"Han dynasty, Southern Xiongnu",Northern Xiongnu
101 AD,102 AD,First Dacian War,,
105 AD,106 AD,Second Dacian War,Roman Empire,Dacian Kingdom
115 AD,117 AD,Kitos War,Roman Empire,"Cyprus, Cyrenaica, Egypt (Roman province), Mesopotamia, Iudaea"
132 AD,136 AD,Bar Kokhba revolt,Roman Empire,"Iudaea, Simon Bar Kokhba"
161 AD,166 AD,Roman–Parthian War of 161–166,,
166 AD,180 AD,Marcomannic Wars,Roman Empire,"Marcomanni, Quadi, Iazyges"
184 AD,205 AD,Yellow Turban Rebellion,Han Dynasty,
190 AD,191 AD,Campaign against Dong Zhuo,,
194 AD,199 AD,Sun Ce's conquests in Jiangdong,Sun Ce,Shanyue
196 AD,197 AD,Clodius Albinus,Roman Empire,Clodius Albinus
202 AD,203 AD,Garama,Roman Empire,Garamantes
208 AD,211 AD,Roman invasion of Caledonia 208–210,Roman Empire,Caledonians
216 AD,216 AD,Parthian war of Caracalla,,
225 AD,225 AD,Zhuge Liang's Southern Campaign,Shu Han,"Shu Han, Nanman"
228 AD,234 AD,Zhuge Liang's Northern Expeditions,,
232 AD,c. 268 AD,Crisis of the Third Century,Illyrian emperors,"Barracks emperor, Usurper, Sassanid Empire"
244 AD,245 AD,Goguryeo-Wei War,Cao Wei,"Goguryeo, Okjeo, Ye"
247 AD,262 AD,Jiang Wei's Northern Expeditions,,
263 AD,263 AD,Conquest of Shu by Wei,Cao Wei,Shu Han
270 AD,271 AD,Palmyrene Empire,Palmyrene Empire,"Roman Empire, Tanukhids"
270 AD,274 AD,Aurelian,Roman Empire,"Vandals, Juthungi, Sarmatians, Alamanni, Goths, Palmyrene Empire, Firmus, Egypt (Roman province), Sassanid Empire, Gallic Empire"
270 AD,271 AD,Aurelian,Roman Empire,"Vandals, Juthungi, Sarmatians, Alamanni, Goths"
271 AD,271 AD,Felicissimus,Roman Empire,
272 AD,273 AD,Aurelian,Roman Empire,"Palmyrene Empire, Firmus, Egypt (Roman province), Sassanid Empire"
274 AD,274 AD,Aurelian,Roman Empire,Gallic Empire
279 AD,280 AD,Conquest of Wu by Jin,Jin Dynasty (265–420),Eastern Wu
286 AD,296 AD,Carausian Revolt,Roman Empire,Carausius
291 AD,306 AD,War of the Eight Princes,,
306 AD,324 AD,Civil wars of the Tetrarchy,Constantine I,
306 AD,312 AD,Civil wars of the Tetrarchy,Constantine I,Maxentius
313 AD,313 AD,Civil wars of the Tetrarchy,Licinius,Maximinus Daia
314 or 316 AD,324 AD,Civil wars of the Tetrarchy,Constantine I,"Licinius, Martinianus"
351 AD,352 AD,Jewish revolt against Constantius Gallus,Eastern Roman Empire,Jews
367 AD,367 AD,Great Conspiracy,Roman Empire,"Picts, Scoti, Attacotti, Saxons, Franks"
376 AD,382 AD,Gothic War (376–382),Eastern Roman Empire,"Ostrogoths, Franks"
378 AD,378 AD,Mavia (queen),Tanukhids,Eastern Roman Empire
395 AD,410 AD,Alaric I,,
395 AD,397 AD,Alarich I,,
c. 398 AD,c. 398 AD,Stilicho's Pictish War,Western Roman Empire,"Picts, Saxons, Gaels"
398 AD,398 AD,Gildonic revolt,Western Roman Empire,Gildo
c. 401 AD,c. 403 AD,Alarich I,Western Roman Empire,Visigoths
406 AD,406 AD,Battle of Mainz (406),"Vandals, Suevi, Alans",Franks
408 AD,410 AD,Alarich I,Visigoths,Western Roman Empire
410 AD,410 AD,Sack of Rome (410),Visigoths,Western Roman Empire
421 AD,422 AD,Roman–Sasanian War (421–422),,
432 AD,432 AD,Battle of Ravenna (432),Bonifacius,Flavius Aetius
434 AD,453 AD,Huns,Huns,"Eastern Roman Empire, Western Roman Empire, Franks, Goths, Burgundians, Saxons, Alans"
451 AD,451 AD,Battle of Avarayr,Sassanid Empire,
before 453 AD,454 AD,Battle of Nedao,"Gepids, Ostrogoths, Heruli, Rugii, Scirii, Suebi","Huns, Alans"
455 AD,455 AD,Sack of Rome (455),Vandals,Western Roman Empire
468 AD,468 AD,Battle of Cap Bon (468),Vandals,"Western Roman Empire, Eastern Roman Empire"
479 AD,479 AD,Prince Hoshikawa Rebellion,,
484 AD,484 AD,Battle of Herat (484),Hephthalite Empire,Sassanid Empire
484 AD,484 AD,Sukhra's Hephthalite campaign,Sassanid Empire,Hephthalite Empire
488 AD,493 AD,Theoderic the Great,"Ostrogoths, Rugians","Odoacer, Scirii, Heruli"
494 AD,534 AD,Basus War,Taghlib,Banu Bakr
502 AD,506 AD,Anastasian War,,
507 AD,507 AD,Battle of Vouillé,"Franks, Taifals",Visigoths
511 AD,515 AD,Revolt of Vitalian,Byzantine Empire,"Vitalian (general), Chalcedonian Christianity"
526 AD,532 AD,Iberian War,,
527 AD,527 AD,Iwai Rebellion,,
c. 531 AD,c. 531 AD,Unstrut,Franks,Thuringii
533 AD,534 AD,Vandalic War,Byzantine Empire,Vandalic Kingdom
534 AD,537 AD,Praetorian prefecture of Africa,,
535 AD,554 AD,Gothic War (535–554),Byzantine Empire,"Ostrogothic Kingdom, Frankish Kingdom"
537 AD,572 AD,First Tikal-Calakmul War,Calakmul,Tikal
541 AD,562 AD,Lazic War,,
551 AD,555 AD,Spania,"Byzantine Empire, Visigoths, Athanagild",Visigothic Kingdom
c. 555 AD,624 AD,Spania,Visigothic Kingdom,Byzantine Empire
556 AD,556 AD,Caracol,Tikal,Caracol
